id;product;calories;fat;saturated;trans; monounsaturated; polyunsaturated;cholesterol;total;starch;sugar;added;protein;fiber; salt
04.248;Torsk, skiver, kokt;104;1,6;0,2;0;0,2;0,6;93;0;0;0;0;22,3;0;0,2
04.041;Tørrfisk;327;1,4;0,2;0;0,2;0,8;152;0;0;0;0;78,5;0;0,1
04.266;Uer, kokt;88;3;0,6;0;1,5;0,8;51;0;0;0;0;15,3;0;0,3
04.261;Uer, lettsaltet, skiver, kokt;88;3;0,6;0;1,5;0,8;51;0;0;0;0;15,3;0;1,7
;;;;;;;;;;;;;;;
4.1.4;Fiskeprodukter og fiskepålegg;;;;;;;;;;;;;;
04.075;Ansjos, hermetisk;216;13,1;3;0;5,5;3,4;90;12,1;0;12,1;12;12,5;0;6,9
04.322;Brisling, i olje, avrent, hermetisk;261;20,9;4,7;0;10,3;4,9;92;0;0;0;0;18,3;0;0,9
04.321;Brisling, i tomat, hermetisk;203;14,7;3,7;0;4,9;4,3;93;2,7;0;2,7;2,7;15;0;0,7
04.079;Fiskeboller, avrent, hermetisk;60;0,6;0,2;0;0,1;0,2;34;6,6;6;0,6;0;7,1;0;1,1
04.210;Fiskeboller, kjølevare;60;0,4;0,2;0;0,1;0;29;5,5;3,3;2,1;0;8,6;0;1,4
04.270;Fiskefarse, mager fisk, rå;61;0,5;0,3;0;0,1;0;26;4,2;1,9;2,3;0;10;0;1,5
04.356;Fiskekaker, Coop;123;5,3;0,5;0;3,8;1,5;33;6,7;5,9;0,8;0;11,9;0;2,1
04.355;Fiskekaker, Fiskemannen;96;3,5;0,4;0;2,7;1,1;30;4,8;3,8;1;0;11,1;0;1,3
04.354;Fiskekaker, Godehav;110;3,6;0,6;0;3,3;1,6;35;6,8;5,3;1,5;0;12,3;1;1,6
04.061;Fiskekaker, kjøpt;110;4,2;0,7;0;2,9;1,2;35;5,9;4,9;1,1;0;11,8;0;1,5
04.353;Fiskekaker, Lofoten;110;4,4;1,5;0;1,8;0,8;44;5,5;4,5;1;0;11,9;0;1,1
04.359;Fiskekarbonader, Berggren;116;4,8;0,5;0;3,1;1,4;30;6,6;5,7;0,9;0;11,1;1;1,7
04.358;Fiskekarbonader, Fiskemannen;90;2,5;0,3;0;2,1;1;42;4,2;3,4;0,8;0;12,3;0;1,1
04.357;Fiskekarbonader, Godehav;115;3,8;0,6;0;3,2;1,6;31;8,6;6,7;1,9;0;11,2;1;1,6
04.360;Fiskekarbonader, kjøpt;107;3,7;0,5;0;2,8;1,3;34;6,5;5,3;1,2;0;11,5;1;1,5
04.272;Fiskekarbonader, laks;211;15,2;3,3;0;8,9;5,4;69;2,4;1,4;1;0;16,3;0;0,7
04.062;Fiskekarbonader, mager fisk;145;9,2;1,1;0;4,8;2,9;28;5,5;4,4;1,1;0;9,9;0;1,4
04.271;Fiskekarbonader, makrell;199;14,4;4;0;6,6;4,4;64;2,4;1,4;1;0;14,8;0;0,8
04.268;Fiskekarbonader, sei;146;9,2;1,1;0;4,8;2,9;28;6;4,4;1,1;0;9,9;0;1,4
