id;product;omega3; omega6;vitaminA; retinol; betacarotene; vitaminD; vitaminE; thiamine;riboflavin;niacin;vitaminB6;folate;vitamineB12; vitamineC; calcium; iron;sodium;potassium;magnesium; zinc;selenium; copper;phosphorus; iodine
1;Melk og melkeprodukter;;;;;;;;;;;;;;;;;;;;;;;;
1.1;Melk og melkebasert drikke;;;;;;;;;;;;;;;;;;;;;;;;
01.265;Stilton, blåmuggost;0,21;0,7;375;360;182;0,2;0,6;0,03;0,47;0,7;0,13;78;1,2;0;326;0,2;788;96;15;2,9;7;0,04;314;40
01.282;Østavind, gulost;0,13;0,13;272;260;146;0;0;0;0,17;0;0;31;3,6;0;675;0;400;0;0;4;10;0;460;15
;;;;;;;;;;;;;;;;;;;;;;;;;
1.4.2;Ost, helfet;;;;;;;;;;;;;;;;;;;;;;;;
01.186;Brunost, uspesifisert;0,1;0,24;280;272;91;M;0,8;0,16;1,2;0,2;0,04;28;1,3;M;518;0,2;323;1444;82;1,1;8;0,02;620;202
01.025;Camembert, hvitmuggost;0,11;0,11;267;253;164;0;0,7;0,06;0,33;1,1;0,14;51;1,7;0;540;0,1;600;91;23;3;11;0,02;390;45
01.251;Chevre, geitost, naturell;0,09;0,5;210;210;1;0;0,7;0,03;0,53;0,8;0,06;82;0,8;0;64;0,2;440;121;12;0,5;9;0,04;240;80
01.030;Edamer, gulost;0,11;0,11;257;244;159;0;0,7;0,08;0,3;0,4;0,03;41;2,4;0;800;0,2;600;76;32;4,4;10;0,04;580;30
01.188;Feta, ost med geitmelk;0,11;0,38;223;220;33;0,5;0,4;0,04;0,21;0,2;0,07;23;1,1;0;360;0,2;1000;95;20;0,9;5;0,07;280;10
01.053;Fløtemysost, brunost;0,1;0,1;246;234;149;0;0;0,18;1,01;0;0,05;51;1,9;0;540;0,2;340;1410;79;1,1;7;0,02;603;134
01.052;Geitost, brunost;0,09;0,5;339;339;0;0;0,9;0,15;1,47;0;0,01;9;0,7;0;553;0,2;330;1700;95;1,3;6;0,03;747;307
01.249;Geitost, hvit, Kvitlin;0,11;0,6;225;225;1;0;0,8;0,1;0,26;0,4;0,05;19;0,2;0;1000;0,3;600;101;63;3,9;9;0,06;710;86
